"","x"
"1",-337914.222
"2",-335950.661
"3",-335415.978
"4",-335549.873
"5",-335927.806
"6",-335343.053
"7",-336877.545
"8",-337692.654
"9",-336294.239
"10",-336880.713
"11",-339016.934
"12",-336138.757
"13",-337117.472
"14",-336775.153
"15",-336944.487
"16",-336284.255
"17",-336096.083
"18",-335124.966
"19",-337956.695
"20",-335268.929
"21",-335683.114
"22",-336609.248
"23",-333640.995
"24",-337454.863
"25",-335176.453
"26",-335337.652
"27",-337797.309
"28",-336064.331
"29",-336469.134
"30",-335239.81
"31",-336293.952
"32",-334960.441
"33",-336293.664
"34",-335339.615
"35",-335356.931
"36",-336606.46
"37",-335410.407
"38",-335702.11
"39",-336333
"40",-337584.509
"41",-337611.526
"42",-337070.676
"43",-337033.23
"44",-337147.339
"45",-335848.155
"46",-335066.257
"47",-335564.683
"48",-338812.095
"49",-335894.045
"50",-336903.27
"51",-335440.868
"52",-334909.653
"53",-335895.904
"54",-335219.491
"55",-336568.178
"56",-334234.183
"57",-339047.541
"58",-336904.414
"59",-336473.569
"60",-336135.9
"61",-337757.266
"62",-335874.143
"63",-336642.266
"64",-337303.618
"65",-334858.441
"66",-336584.717
"67",-338316.492
"68",-336533.649
"69",-337654.224
"70",-336164.848
"71",-336880.735
"72",-336036.677
"73",-335130.059
"74",-336342.481
"75",-335878.636
"76",-337062.308
"77",-335851.543
"78",-336164.786
"79",-337026.191
"80",-333755.468
"81",-335717.934
"82",-334406.162
"83",-335625.332
"84",-336851.127
"85",-336357.02
"86",-336136.64
"87",-338723.012
"88",-339339.26
"89",-337159.856
"90",-338482.24
"91",-336710.619
"92",-335669.8
"93",-337557.464
"94",-335870.333
"95",-334891.272
"96",-336893.713
"97",-335397.41
"98",-336189.314
"99",-337276.486
"100",-337674.437
"101",-337384.794
"102",-334924.186
"103",-335837.853
"104",-335006.779
"105",-336389.582
"106",-336230.835
"107",-335283.798
"108",-337640.73
"109",-338170.585
"110",-336122.385
"111",-335805.102
"112",-337478.499
"113",-336248.284
"114",-335755.52
"115",-337526.108
"116",-336520.588
"117",-335086.953
"118",-336606.271
"119",-336555.501
"120",-335351.385
"121",-335491.776
"122",-334542.495
"123",-335410.494
"124",-335205.495
"125",-336788.596
"126",-336130.354
"127",-333803.003
"128",-337621.841
"129",-335437.034
"130",-337145.395
