"","x"
"1",-16627.055
"2",-16621.945
"3",-17103.003
"4",-16673.579
"5",-16657.681
"6",-16533.375
"7",-16818.274
"8",-16766.129
"9",-16550.788
"10",-17178.471
"11",-16593.771
"12",-16918.683
"13",-16280.195
"14",-16729.919
"15",-17494.936
"16",-16851.497
"17",-17007.948
"18",-16719.16
"19",-17093.812
"20",-16722.131
"21",-16941.282
"22",-16766.045
"23",-16310.386
"24",-16773.825
"25",-17031.358
"26",-16926.534
"27",-16589.692
"28",-16447.53
"29",-17051.802
"30",-16788.256
"31",-16938.324
"32",-16780.493
"33",-16477.635
"34",-16548.108
"35",-16817.845
"36",-16869.021
"37",-16771.453
"38",-17146.85
"39",-16906.325
"40",-16609.395
"41",-16877.33
"42",-16623.27
"43",-16881.202
"44",-16907.106
"45",-16501
"46",-16722.96
"47",-17208.885
"48",-16579.676
"49",-16691.052
"50",-16757.53
"51",-16605.947
"52",-16562.329
"53",-16667.617
"54",-17021.766
"55",-16690.05
"56",-16729.177
"57",-16639.066
"58",-17309.997
"59",-17093.372
"60",-16515.873
"61",-17143.924
"62",-17042.779
"63",-16846.361
"64",-16934.846
"65",-16217.9
"66",-16663.884
"67",-17000.624
"68",-16753.626
"69",-16945.819
"70",-16941.733
"71",-16530.397
"72",-16863.08
"73",-16736.367
"74",-16734.934
"75",-17207.249
"76",-17130.513
"77",-16265.001
"78",-16628.594
"79",-16738.75
"80",-17127.807
"81",-16562.526
"82",-16243.485
"83",-16610.36
"84",-16204.394
"85",-16473.107
"86",-16596.901
"87",-16485.481
"88",-16952.101
"89",-16303.937
"90",-16499.666
"91",-16647.016
"92",-16852.072
"93",-16540.781
"94",-17082.402
"95",-16816.968
"96",-16920.708
"97",-16473.913
"98",-16823.627
"99",-16721.264
"100",-16469.878
"101",-16914.722
"102",-16639.33
"103",-16743.347
"104",-16615.546
"105",-16710.388
"106",-16871.158
"107",-16461.319
"108",-16470.595
"109",-16976.017
"110",-17114.355
"111",-16986.18
"112",-16928.77
"113",-17077.669
"114",-16601.687
"115",-16760.273
"116",-16572.379
"117",-16564.819
"118",-17037.14
"119",-16773.927
"120",-16509.435
"121",-16839.166
"122",-17250.971
"123",-16621.077
"124",-17116.322
"125",-16343.038
"126",-16741.261
"127",-17035.833
"128",-16592.248
"129",-16992.213
"130",-17014.943
"131",-16851.928
"132",-16720.965
"133",-16701.434
"134",-17044.5
"135",-16514.091
"136",-16650.038
"137",-16975.506
"138",-16887.458
"139",-16368.668
"140",-16838.89
"141",-16747.843
"142",-16985.631
"143",-16827.527
"144",-17113.661
"145",-17274.115
"146",-16940.601
"147",-16643.579
"148",-16593.494
"149",-16218.869
"150",-17008.577
"151",-16477.351
"152",-17145.327
"153",-16527.52
"154",-16698.767
"155",-16887.708
"156",-17334.116
"157",-16841.198
"158",-16707.644
"159",-16508.395
"160",-16740.082
"161",-16886.623
"162",-16848.524
"163",-16546.957
"164",-17020.357
"165",-16871.516
"166",-16445.525
"167",-17069.54
"168",-16887.821
"169",-16866.786
"170",-16480.553
"171",-16667.436
"172",-16876.021
"173",-16891.27
"174",-17342.37
"175",-16710.378
"176",-16630.963
"177",-16753.497
"178",-16600.822
"179",-16402.925
"180",-16827.137
"181",-16900.626
"182",-16529.412
"183",-16885.512
"184",-17114.971
"185",-16676.105
"186",-16920.732
"187",-16698.869
"188",-16735.279
"189",-17147.24
"190",-17102.807
"191",-16642.571
"192",-17212.846
"193",-16560.611
"194",-16550.711
"195",-16534.693
"196",-16951.456
"197",-16641.176
"198",-16757.261
"199",-16232.37
"200",-16972.991
"201",-16874.262
"202",-16834.737
"203",-17012.546
"204",-16714.884
"205",-17095.487
"206",-17050.634
"207",-16924.803
"208",-16848.73
"209",-16822.014
"210",-16961.483
"211",-17117.671
"212",-16805.257
"213",-16379.191
"214",-16941.166
"215",-16590.715
"216",-16920.392
"217",-17003.634
"218",-17031.481
"219",-17072.661
"220",-16487.257
"221",-16357.33
"222",-17178.658
"223",-16057.662
"224",-16650.015
"225",-16953.274
"226",-16540.5
"227",-16906.264
"228",-16549.025
"229",-16898.789
"230",-16507.934
"231",-16748.828
"232",-16322.174
"233",-16567.198
"234",-16938.783
"235",-16625.529
"236",-16727.11
"237",-16689.842
"238",-16618.961
"239",-16701.084
"240",-16724.295
"241",-16696.761
"242",-17157.338
"243",-16953.655
"244",-16901.023
"245",-16404.966
"246",-16614.408
"247",-16741.258
"248",-17151.553
"249",-17037.644
"250",-16794.61
"251",-16630.571
"252",-16574.931
"253",-16387.659
"254",-17182.485
"255",-16284.475
"256",-16637.822
"257",-16740.998
"258",-16486.178
"259",-16168.241
"260",-16853.744
"261",-17110.436
"262",-16708.096
"263",-16725.201
"264",-16669.632
"265",-17002.012
"266",-16995.95
"267",-16841.273
"268",-16714.34
"269",-16845.933
"270",-16927.13
"271",-16758.443
"272",-16440.382
"273",-16981.584
"274",-16898.097
"275",-16573.581
"276",-17352.458
"277",-17026.057
"278",-16552.73
"279",-16728.704
"280",-16456.18
"281",-16475.785
"282",-16432.441
"283",-16673.58
"284",-16323.551
"285",-16846.433
"286",-16201.857
"287",-16789.062
"288",-16740.487
"289",-16798.727
"290",-16710.342
"291",-16756.844
"292",-16420.824
"293",-16605.262
"294",-16780.656
"295",-17342.406
"296",-16913.403
"297",-16689.973
"298",-16540.937
"299",-16848.36
"300",-17198.781
"301",-16784.124
"302",-17128.432
"303",-16397.417
"304",-17046.828
"305",-17147.67
"306",-17112.03
"307",-17128.836
"308",-16432.833
"309",-16928.332
"310",-16634.252
"311",-17131.997
"312",-16679.553
"313",-16268.225
"314",-17115.076
"315",-16518.368
"316",-16935.367
"317",-16827.441
"318",-16845.564
"319",-16515.771
"320",-16919.617
"321",-16972.885
"322",-16568.529
"323",-16986.579
"324",-16917.618
"325",-16665.611
"326",-16844.802
"327",-16684.484
"328",-17112.388
"329",-16600.594
"330",-16681.732
"331",-16479.268
"332",-16897.497
"333",-16761.977
"334",-16767.043
"335",-16796.962
"336",-16626.884
"337",-16896.967
"338",-16919.717
"339",-16736.74
"340",-16552.335
"341",-17099.977
"342",-16864.474
"343",-16708.924
"344",-16786.306
"345",-16864.423
"346",-16936.628
"347",-16790.405
"348",-16695.589
"349",-16802.2
"350",-16580.474
"351",-16979.046
"352",-16997.631
"353",-16701.237
"354",-16771.769
"355",-16952.24
"356",-16624.951
"357",-16741.91
"358",-17414.785
"359",-16898.958
"360",-16460.778
"361",-16735.606
"362",-16923.191
"363",-16816.295
"364",-16825.972
"365",-16744.489
"366",-16998.272
"367",-16805.682
"368",-16888.322
"369",-16974.938
"370",-16560.483
"371",-16514.277
"372",-16851.925
"373",-16575.244
"374",-17093.274
"375",-16374.58
"376",-16685.867
"377",-16716.23
"378",-16941.261
"379",-16848.302
"380",-16606.133
"381",-16354.852
"382",-16648.073
"383",-17020.901
"384",-16536.144
"385",-16883.587
"386",-16827.574
"387",-16672.624
"388",-17023.831
"389",-16373.76
"390",-16821.936
"391",-16409.827
"392",-16767.845
"393",-16964.881
"394",-16914.845
"395",-17252.718
"396",-16311.907
"397",-16793.812
"398",-16976.672
"399",-16281.932
"400",-16079.817
