"","x"
"1",-16746.404
"2",-16626.313
"3",-16981.2
"4",-16383.822
"5",-17240.393
"6",-16884.108
"7",-16049.009
"8",-16834.838
"9",-16663.184
"10",-16874.896
"11",-16279.55
"12",-17099.16
"13",-16777.279
"14",-17119.059
"15",-16737.275
"16",-16996.877
"17",-16757.732
"18",-16594.833
"19",-17108.144
"20",-16884.436
"21",-16951.405
"22",-16920.827
"23",-16823.32
"24",-16634.27
"25",-16525.584
"26",-16387.56
"27",-16535.157
"28",-16632.889
"29",-16563.716
"30",-16616.766
"31",-17028.785
"32",-16477.759
"33",-16862.863
"34",-17027.55
"35",-16325.343
"36",-16782.411
"37",-16919.398
"38",-16272.316
"39",-16672.005
"40",-16902.489
"41",-16566.059
"42",-16392.708
"43",-17171.314
"44",-16828.014
"45",-16618.512
"46",-16497.762
"47",-17333.974
"48",-16678.324
"49",-16913.223
"50",-16566.316
"51",-17099.584
"52",-16951.752
"53",-16668.903
"54",-17140.555
"55",-16913.958
"56",-16739.623
"57",-17292.663
"58",-16576.996
"59",-16408.323
"60",-16598.598
"61",-16353.076
"62",-16437.629
"63",-16799.467
"64",-16847.945
"65",-16700.04
"66",-16811.151
"67",-16412.757
"68",-16624.338
"69",-17292.505
"70",-17259.582
"71",-16748.322
"72",-17246.995
"73",-16632.783
"74",-16910.647
"75",-16833.032
"76",-16420.234
"77",-16994.733
"78",-16714.194
"79",-16742.227
"80",-17035.405
"81",-16586.094
"82",-17067.879
"83",-16953.271
"84",-16846.839
"85",-16803.44
"86",-16363.569
"87",-17047.877
"88",-16771.013
"89",-16737.254
"90",-16737.734
"91",-16947.459
"92",-16309.957
"93",-17268.961
"94",-16931.72
"95",-17251.047
"96",-17043.743
"97",-16802.571
"98",-16656.617
"99",-17317.342
"100",-16896.183
"101",-16981.412
"102",-16557.399
"103",-16567.596
"104",-16473.664
"105",-17183.024
"106",-16649.675
"107",-16736.051
"108",-16654.572
"109",-16878.392
"110",-17090.15
"111",-17040.814
"112",-16890.905
"113",-17273.65
"114",-16944.345
"115",-16268.231
"116",-16497.319
"117",-16944.42
"118",-16690.521
"119",-16619.773
"120",-16231.461
"121",-16560.797
"122",-17275.007
"123",-16651.414
"124",-17102.025
"125",-17048.668
"126",-16500.008
"127",-16488.867
"128",-16914.35
"129",-16967.234
"130",-16772.502
"131",-16526.831
"132",-16717.627
"133",-16578.71
"134",-16946.748
"135",-16837.04
"136",-17033.508
"137",-16960.597
"138",-16480.149
"139",-16720.36
"140",-16591.476
"141",-16811.103
"142",-16789.147
"143",-16349.433
"144",-17182.518
"145",-16591.105
"146",-16993.92
"147",-16575.914
"148",-16979.414
"149",-16854.735
"150",-17158.214
"151",-16622.92
"152",-16372.578
"153",-16720.499
"154",-16811.244
"155",-16705.709
"156",-16947.617
"157",-16615.397
"158",-17121.012
"159",-16651.292
"160",-16749.745
"161",-16946.189
"162",-17186.633
"163",-16837.779
"164",-16468.864
"165",-16653.432
"166",-16600.592
"167",-16783.57
"168",-16741.718
"169",-16740.273
"170",-16537.273
"171",-17120.272
"172",-17200.868
"173",-16456.436
"174",-16608.416
"175",-17148.704
"176",-17280.173
"177",-17137.071
"178",-16854.65
"179",-16817.131
"180",-17361.88
"181",-16134.611
"182",-16472.281
"183",-16881.397
"184",-16811.135
"185",-16694.931
"186",-17151.04
"187",-16910.325
"188",-16742.058
"189",-16961.765
"190",-16460.801
"191",-16681.107
"192",-16796.54
"193",-16397.514
"194",-16764.999
"195",-16732.551
"196",-16378.594
"197",-16484.775
"198",-16399.505
"199",-16691.006
"200",-16650.379
"201",-17271.501
"202",-16819.395
"203",-16846.449
"204",-16832.217
"205",-17096.829
"206",-17229.07
"207",-16505.897
"208",-16768.196
"209",-17198.937
"210",-16999.285
"211",-16579.863
"212",-16741.943
"213",-16712.183
"214",-16722.042
"215",-16865.252
"216",-16684.912
"217",-16761.11
"218",-17105.162
"219",-17090.977
"220",-16288.392
"221",-17013.299
"222",-16646.169
"223",-16982.037
"224",-16926.118
"225",-17236.906
"226",-16875.887
"227",-16703.837
"228",-16469.393
"229",-16446.334
"230",-16671.682
"231",-16772.18
"232",-16457.051
"233",-16632.442
"234",-16933.622
"235",-17325.835
"236",-16468.27
"237",-17109.183
"238",-16414.324
"239",-16488.1
"240",-17104.346
"241",-16315.093
"242",-16718.177
"243",-16918.648
"244",-16885.41
"245",-16983.496
"246",-16915.227
"247",-17296.007
"248",-16655.757
"249",-16645.833
"250",-16707.955
"251",-16311.014
"252",-17080.432
"253",-16128.343
"254",-16833.006
"255",-16404.462
"256",-17091.104
"257",-16987.771
"258",-16863.077
"259",-16886.22
"260",-16658.913
"261",-17172.962
"262",-16401.62
"263",-16838.329
"264",-17154.014
"265",-16788.45
"266",-17084.964
"267",-17302.448
"268",-17217.608
"269",-16818.639
"270",-16481.904
"271",-16702.286
"272",-16809.948
"273",-16475.124
"274",-17360.025
"275",-16715.325
"276",-17279.184
"277",-16571.349
"278",-17040.989
"279",-16863.758
"280",-17001.825
"281",-16285.819
"282",-16586.061
"283",-16624.181
"284",-17007.404
"285",-17128.535
"286",-16645.671
"287",-17065.487
"288",-16758.558
"289",-16668.258
"290",-16970.236
"291",-16533.491
"292",-16877.085
"293",-16563.88
"294",-16200.831
"295",-16915.283
"296",-16816.565
"297",-16725.241
"298",-17174.386
"299",-17226.442
"300",-16759.996
"301",-16911.786
"302",-16544.085
"303",-16618.652
"304",-16163.635
"305",-16474.216
"306",-16750.729
"307",-16247.268
"308",-16651.108
"309",-16428.91
"310",-16428.899
"311",-16891.907
"312",-16715.626
"313",-16879.208
"314",-16455.119
"315",-16259.81
"316",-16706.791
"317",-16308.862
"318",-17004.923
"319",-16750.289
"320",-16820.096
"321",-17003.047
"322",-16149.733
"323",-17160.43
"324",-16915.188
"325",-16262.841
"326",-16846.117
"327",-16786.658
"328",-16858.082
"329",-16790.02
"330",-17158.326
"331",-16584.551
"332",-16352.777
"333",-16513.146
"334",-17087.359
"335",-16534.973
"336",-16638.264
"337",-16718.808
"338",-16885.257
"339",-16731.389
"340",-16444.008
"341",-16918.469
"342",-16903.316
"343",-17205.817
"344",-16699.053
"345",-17142.015
"346",-17175.02
"347",-16947.001
"348",-16465.881
"349",-16417.435
"350",-16932.427
"351",-16638.543
"352",-17032.213
"353",-16603.203
"354",-17038.444
"355",-16544.94
"356",-16732.148
"357",-17008.555
"358",-16849.216
"359",-16942.512
"360",-16565.409
"361",-16704.533
"362",-16786.943
"363",-16989.355
"364",-16392.908
"365",-16756.591
"366",-17113.5
"367",-17065.911
"368",-16630.67
"369",-16496.624
"370",-17252.505
"371",-17220.923
"372",-16287.145
"373",-16506.855
"374",-16809.513
"375",-16614.526
"376",-16908.072
"377",-16770.099
"378",-16790.868
"379",-16617.452
"380",-16911.245
"381",-16554.743
"382",-16960.415
"383",-16659.497
"384",-16347.094
"385",-16818.79
"386",-16590.078
"387",-16705.952
"388",-17074.829
"389",-16435.955
"390",-17358.426
"391",-16466.512
"392",-16505.989
"393",-16922.843
"394",-16661.044
"395",-16905.718
"396",-16720.014
"397",-16867.587
"398",-16574.318
"399",-17020.57
"400",-17464.343
"401",-17103.692
"402",-16511.2
"403",-16918.793
"404",-16612.619
"405",-17205.272
"406",-16363.39
"407",-16962.958
"408",-17067.338
"409",-16682.513
"410",-16857.241
"411",-16662.939
"412",-16678.059
"413",-17083.254
"414",-16470.311
"415",-17270.113
"416",-16623.954
"417",-16624.038
"418",-16715.704
"419",-17165.075
"420",-16949.699
"421",-16415.473
"422",-16596.364
"423",-16787.727
"424",-17057.567
"425",-16909.528
"426",-16518.561
"427",-16555.707
"428",-16610.487
"429",-16662.031
"430",-17270.351
"431",-16733.421
"432",-16889.706
"433",-17007.602
"434",-17099.128
"435",-16409.466
"436",-16772.309
"437",-16887.863
"438",-16867.836
"439",-17162.775
"440",-16205.786
"441",-16445.763
"442",-16666.625
"443",-16856.271
"444",-16551.33
"445",-16611.76
"446",-16772.869
"447",-15983.259
"448",-16775.183
"449",-16741.815
"450",-17102.812
"451",-16805.375
"452",-16774.784
"453",-16156.113
"454",-16662.916
"455",-16845.212
"456",-16641.696
"457",-16536.141
"458",-17087.806
"459",-16785.462
"460",-16326.841
"461",-16725.974
"462",-16673.686
"463",-17141.554
"464",-16989.688
"465",-16660.67
"466",-16881.657
"467",-17093.468
"468",-16911.766
"469",-16768.051
"470",-17042.601
"471",-16358.786
"472",-16477.372
"473",-16695.063
"474",-16637.815
"475",-16754.159
"476",-17080.014
"477",-16639.375
"478",-16201.956
"479",-17316.241
"480",-17003.063
"481",-16504.319
"482",-16771.55
"483",-17106.106
"484",-17325.018
"485",-16160.019
"486",-16694.162
"487",-16405.847
"488",-16933.726
"489",-16818.736
"490",-17325.822
"491",-16203.478
"492",-16810.386
"493",-16801.262
"494",-17155.974
"495",-16823.198
"496",-16597.678
"497",-17066.987
"498",-17068.654
"499",-16952.389
"500",-16878.7
"501",-16805.863
"502",-16826.055
"503",-16394.941
"504",-16802.998
"505",-17115.755
"506",-16568.422
"507",-16591.158
"508",-15976.513
"509",-16382.131
"510",-16800.233
"511",-17174.46
"512",-16821.461
"513",-16576.061
"514",-16865.854
"515",-16699.474
"516",-16593.616
"517",-16479.199
"518",-16498.685
"519",-17154.871
"520",-17145.847
"521",-17110.461
"522",-17098.717
"523",-16731.667
"524",-17206.267
"525",-16654.475
"526",-16883.128
"527",-16605.625
"528",-16695.806
"529",-17062.896
"530",-17059.59
"531",-16898.685
"532",-17012.147
"533",-16931.031
"534",-16749.414
"535",-16298.677
"536",-16430.657
"537",-16694.52
"538",-16835.475
"539",-17012.111
"540",-16649.184
"541",-16428.771
"542",-16731.261
"543",-16084.65
"544",-16947.346
"545",-16843.365
"546",-16734.349
"547",-16836.875
"548",-17020.803
"549",-17142.74
"550",-16696.784
"551",-16985.43
"552",-17028.009
"553",-16642.909
"554",-16888.108
"555",-16916.658
"556",-16866.959
"557",-16746.649
"558",-16551.392
"559",-16604.492
"560",-17631.496
"561",-16848.891
"562",-16556.364
"563",-17238.463
"564",-16692.927
"565",-16523.042
"566",-16608.629
"567",-16873.338
"568",-16945.461
"569",-16471.147
"570",-16650.861
"571",-16597.763
"572",-17018.101
"573",-16987.051
"574",-17004.817
"575",-17094.849
"576",-16096.942
"577",-16847.685
"578",-17015.955
"579",-17144.444
"580",-16858.051
"581",-17091.178
"582",-17059.352
"583",-16889.531
"584",-16581.441
"585",-16307.113
"586",-16835.424
"587",-17138.492
"588",-16821.391
"589",-16935.954
"590",-17059.25
"591",-16495.968
"592",-16909.668
"593",-16698.962
"594",-16591.606
"595",-16791.628
"596",-16640.503
"597",-16792.673
"598",-16647.77
"599",-17125.257
"600",-16689.649
"601",-16825.281
"602",-16502.438
"603",-16712.932
"604",-16736.574
"605",-16959.662
"606",-16634.201
"607",-16967.002
"608",-16865.388
"609",-16570.314
"610",-16621.668
"611",-16766.32
"612",-17111.667
"613",-16847.284
"614",-17390.977
"615",-16837.482
"616",-16623.873
"617",-17060.695
"618",-16419.763
"619",-16885.214
"620",-16637.245
"621",-16673.336
"622",-16680.557
"623",-16478.381
"624",-16515.936
"625",-16750.675
"626",-16827.113
"627",-16478.355
"628",-16739.581
"629",-17103.701
"630",-16893.089
"631",-16653.338
"632",-17240.765
"633",-16550.017
"634",-17358.35
"635",-16673.171
"636",-17177.915
"637",-17034.42
"638",-16676.481
"639",-16934.044
"640",-17067.537
"641",-17024.764
"642",-16841.879
"643",-16622.606
"644",-16714.285
"645",-16878.022
"646",-15850.955
"647",-16881.85
"648",-16942.225
"649",-16494.575
"650",-16198.344
"651",-16448.43
