"","x"
"1",-6743.22
"2",-6457.54
"3",-6974.056
"4",-6500.35
"5",-6353.429
"6",-6729.847
"7",-6491.956
"8",-6522.023
"9",-6474.997
"10",-6700.664
"11",-6596.442
"12",-6807.959
"13",-6496.906
"14",-6629.646
"15",-6467.079
"16",-6622.502
"17",-6885.791
"18",-6394.587
"19",-6322.617
"20",-6710.516
"21",-7175.874
"22",-6567.155
"23",-6653.575
"24",-6626.724
"25",-6892.048
"26",-6676.817
"27",-6845.253
"28",-6870.537
"29",-6622.961
"30",-6507.474
"31",-6729.882
"32",-6882.782
"33",-6671.053
"34",-6731.186
"35",-6763.105
"36",-6509.937
"37",-6657.243
"38",-6684.048
"39",-6701.871
"40",-6646.53
"41",-6700.556
"42",-6379.451
"43",-6508.821
"44",-6909.36
"45",-6714.711
"46",-6597.511
"47",-6494.351
"48",-6947.516
"49",-6514.94
"50",-6716.254
"51",-6816.365
"52",-6728.106
"53",-6775.966
"54",-6548.77
"55",-6612.543
"56",-6569.784
"57",-6718.875
"58",-6859.875
"59",-6858.486
"60",-6647.85
"61",-6893.359
"62",-6907.005
"63",-6909.33
"64",-6903.227
"65",-6822.705
"66",-6608.217
"67",-6554.446
"68",-6863.905
"69",-6697.88
"70",-6903.667
"71",-6959.473
"72",-7054.168
"73",-6659.115
"74",-6915.627
"75",-6661.813
"76",-6647.098
"77",-6589.443
"78",-6570.42
"79",-6644.449
"80",-6752.076
"81",-6531.46
"82",-6472.084
"83",-6698.763
"84",-6912.109
"85",-6649.782
"86",-6598.523
"87",-6647.777
"88",-6911.835
"89",-6618.549
"90",-6634.771
"91",-6510.445
"92",-6769.6
"93",-6798.288
"94",-6756.906
"95",-6628.708
"96",-6566.57
"97",-6769.683
"98",-6762.374
"99",-6807.407
"100",-6887.621
"101",-6706.427
"102",-6563.491
"103",-6692.352
"104",-6826.879
"105",-6338.593
"106",-6658.745
"107",-6854.536
"108",-6660.844
"109",-6539.796
"110",-6827.121
"111",-6816.886
"112",-6734.601
"113",-6925.397
"114",-6635.319
"115",-6915.202
"116",-6860.713
"117",-6615.822
