"","x"
"1",-8863.057
"2",-9058.129
"3",-8848.999
"4",-8746.887
"5",-9119.086
"6",-8895.112
"7",-8704.642
"8",-9123.67
"9",-9104.585
"10",-8666.803
"11",-8879.72
"12",-8890.238
"13",-8962.568
"14",-8811.159
"15",-8797.568
"16",-8705.877
"17",-9060.882
"18",-9010.478
"19",-9043.598
"20",-9085.58
"21",-8934.62
"22",-8847.343
"23",-8599.903
"24",-8906.06
"25",-9199.894
"26",-9123.372
"27",-8865.177
"28",-8855.983
"29",-8779.106
"30",-8669.511
"31",-8875.985
"32",-8768.732
"33",-8699.819
"34",-8808.182
"35",-8886.892
"36",-8947.233
"37",-9142.152
"38",-8886.263
"39",-9118.21
"40",-8814.466
"41",-8847.581
"42",-8697.283
"43",-8715.186
"44",-8835.662
"45",-8643.299
"46",-8885.405
"47",-8903.073
"48",-9028.92
"49",-9035.623
"50",-8797.77
"51",-8859.939
"52",-8678.816
"53",-8719.124
"54",-8836.646
"55",-9142.278
"56",-8840.385
"57",-8795.761
"58",-8950.007
"59",-8625.96
"60",-8829.156
"61",-8898.656
"62",-8722.931
"63",-8782.942
"64",-8747.395
"65",-9091.346
"66",-9003.642
"67",-8771.424
"68",-9150.729
"69",-8895.285
"70",-8853.435
"71",-8717.907
"72",-8830.383
"73",-8711.095
"74",-9053.402
"75",-8808.672
"76",-8582.914
"77",-8764.545
"78",-8827.926
"79",-8605.265
"80",-9029.948
"81",-8687.997
"82",-8924.921
"83",-8957.591
"84",-8798.036
"85",-8854.189
"86",-8487.508
"87",-9149.697
"88",-8904.334
"89",-8901.828
"90",-8804.857
"91",-8767.988
"92",-8933.026
"93",-8911.647
"94",-8862.538
"95",-8901.952
"96",-8802.106
"97",-8898.389
"98",-9002.726
"99",-8997.29
"100",-9016.164
"101",-8994.982
"102",-8814.683
"103",-9012.219
"104",-8711.095
"105",-8837.746
"106",-8891.342
"107",-8735.543
"108",-9112.253
"109",-8853.378
"110",-8799.117
"111",-8522.468
